EMP_NAME;TOT@L;SaLe DATE; Region ;;NOTES
Joshua;$963;3rd May 2025;weSt ;;  
Joy;1, 827.00;01 Jul 2025;NORTH;;✓
ROBERT;$1732;05-31-2025;West;;
CAROLYN;1022.001355,00;01 Jul 2025;NORTH;;  
Joshua;4660.002484,00;3rd May 2025;south ;;
 katherine ;5981.001713,00;05 Jun 2025;central;;
 eric ;$630;19.05.2025;NORTH;;bonus applied
MICHAEL;9176.001254,00;3rd June 2025;EAST;;duplicate?
 lindsay ;1, 499.00;06-15-2025;south ;;bonus applied
KELLY;2770.00933,00;14.06.2025;weSt ;;duplicate?
 barbara ;4489.001288,00;3rd June 2025;North;;
 kendra ;$956;2025/05/19;EAST;;✓
Mary;$1036;25.05.2025;EAST;;Sold extras
JASON;$1431;3rd May 2025;North;;Sold extras
GEORGE;$938;3rd May 2025;EAST;;Late entry
 steven ;$1891;03 Jul 2025;central;;  
 jeffrey ;1, 650.00;15 May 2025;EAST;;
ANTONIO;1, 385.00;06-04-2025;North;;
ROBIN;1, 656.00;09 Jun 2025;NORTH;;
Nicole;2, 957.00;23 Jun 2025;North;;Late entry
 douglas ;"""2202""";07-01-2025;EAST;;Late entry
 jose ;5847.001557,00;2025/06/17;central;;✓
 michael ;1, 161.00;06-26-2025;NORTH;;bonus applied
BRANDON;1, 739.00;3rd May 2025;North;;  
Bryan;7829.001960,00;2025/06/16;south ;;bonus applied
John;"""2334""";07-02-2025;central;;duplicate?
Jennifer;"""1906""";01.07.2025;weSt ;;
 karen ;$1187;07.06.2025;EAST;;  
Stephanie;4777.001566,00;2025/06/04;North;;Late entry
William;1805.00574,00;05-20-2025;North;;Late entry
 monica ;1, 170.00;08.07.2025;North;;bonus applied
NATHANIEL;6253.00959,00;30 Jun 2025;NORTH;;✓
CAROL;1, 512.00;05-20-2025;West;;✓
NATASHA;"""1172""";3rd June 2025;NORTH;;✓
Ashley;1, 415.00;3rd May 2025;weSt ;;✓
TODD;$1599;2025/06/30;North;;bonus applied
Thomas;$773;02 Jul 2025;south ;;bonus applied
Catherine;7530.00646,00;30.05.2025;North;;✓
Hannah;2, 540.00;06-09-2025;EAST;;bonus applied
Nathaniel;"""2309""";3rd June 2025;south ;;Sold extras
Caleb;8705.001532,00;12.05.2025;EAST;;
Jeffrey;2004.00696,00;16.05.2025;central;;bonus applied
Carlos;$1335;13.05.2025;south ;;Sold extras
CHAD;9175.00870,00;3rd June 2025;south ;;
 jason ;1, 849.00;2025/07/04;NORTH;;bonus applied
 barbara ;$1506;2025/06/18;central;;Sold extras
COLLIN;2, 808.00;3rd June 2025;NORTH;;  
 robert ;$2411;19.05.2025;weSt ;;duplicate?
 bruce ;"""2269""";3rd May 2025;central;;
 john ;2, 773.00;06-19-2025;West;;Sold extras
STEVEN;2, 589.00;2025/05/17;weSt ;;✓
Andrea;$1357;05-14-2025;EAST;;duplicate?
Alexis;$941;2025/05/19;EAST;;duplicate?
 sara ;1, 716.00;2025/06/26;weSt ;;Late entry
Rachel;$1760;25.05.2025;south ;;
 nicholas ;"""784""";3rd June 2025;North;;Sold extras
HEATHER;"""1325""";07-02-2025;weSt ;;✓
James;1, 930.00;3rd May 2025;central;;Sold extras
BETH;1, 977.00;2025/06/09;central;;duplicate?
 brian ;"""2104""";3rd June 2025;NORTH;;✓
SUSAN;"""1029""";05-28-2025;south ;;  
 casey ;1959.001430,00;06-18-2025;central;;Late entry
John;8828.001678,00;06 Jul 2025;EAST;;
CHRISTOPHER;"""1463""";03 Jul 2025;south ;;✓
 alexandra ;"""505""";2025/06/09;central;;bonus applied
Emily;"""960""";2025/06/08;West;;  
Shari;1, 814.00;3rd May 2025;central;;Late entry
 stephen ;1, 780.00;05-17-2025;south ;;Late entry
WILLIAM;"""652""";06-12-2025;North;;bonus applied
Mike;3633.00528,00;3rd May 2025;North;;
AMY;6315.001861,00;30 Jun 2025;EAST;;
LISA;4235.001941,00;20 May 2025;North;;  
DENNIS;9761.001594,00;05-20-2025;EAST;;
Juan;2, 159.00;3rd May 2025;NORTH;;✓
Cynthia;4052.001387,00;06-04-2025;West;;✓
Rebekah;$1362;14 May 2025;central;;bonus applied
 christopher ;2, 507.00;3rd May 2025;central;;✓
Tina;$1500;2025/05/25;weSt ;;  
 joyce ;2856.00703,00;2025/05/10;EAST;;Late entry
SIERRA;6178.001770,00;24 May 2025;NORTH;;
MARY;$2368;2025/05/24;weSt ;;Sold extras
BOBBY;$2030;3rd May 2025;West;;bonus applied
JASON;7835.001966,00;05-19-2025;EAST;;  
ANITA;9465.00586,00;25 May 2025;West;;duplicate?
 sara ;"""592""";2025/05/27;central;;bonus applied
ANGEL;2, 865.00;2025/06/11;North;;
Elizabeth;2, 795.00;2025/06/03;south ;;  
 joseph ;7330.002180,00;2025/05/13;weSt ;;
 michele ;$901;23.06.2025;south ;;bonus applied
 michael ;2954.002282,00;05-31-2025;North;;bonus applied
 andrew ;1, 348.00;16 May 2025;North;;✓
JOSHUA;$720;17.06.2025;NORTH;;
 erin ;4612.001547,00;12 May 2025;central;;
Gregory;7184.002324,00;2025/06/04;weSt ;;bonus applied
CANDACE;$914;09 Jun 2025;West;;  
 samuel ;1, 594.00;07-04-2025;weSt ;;Late entry
BRADLEY;$1859;29 Jun 2025;south ;;
AMANDA;2, 954.00;29.05.2025;weSt ;;bonus applied
 michael ;$2283;3rd June 2025;West;;
ELIZABETH;6495.002316,00;08.06.2025;EAST;;duplicate?
ELIZABETH;"""1697""";2025/06/07;weSt ;;
JAMES;1513.001176,00;3rd June 2025;NORTH;;
 erica ;1, 913.00;08 Jun 2025;EAST;;
MARTHA;1024.002479,00;3rd May 2025;central;;duplicate?
Diana;2, 440.00;2025/06/24;West;;duplicate?
William;2, 153.00;05-26-2025;weSt ;;
Elizabeth;$1839;11.06.2025;weSt ;;bonus applied
 clarence ;"""2136""";2025/06/09;West;;
JAMES;$2455;3rd June 2025;NORTH;;Late entry
Kayla;6642.001461,00;23.06.2025;south ;;bonus applied
CRYSTAL;3943.001956,00;3rd June 2025;North;;
Diana;$1225;10 May 2025;south ;;✓
Nicole;1784.001103,00;06-20-2025;EAST;;  
Heather;2, 507.00;3rd June 2025;West;;  
Melinda;2, 845.00;06-23-2025;central;;duplicate?
STEVEN;1, 946.00;2025/07/03;central;;✓
 caitlin ;$1168;3rd July 2025;weSt ;;  
Ronald;$897;02.07.2025;central;;Late entry
 sean ;$575;22.06.2025;south ;;✓
JOHN;2, 956.00;3rd June 2025;EAST;;
JOHN;8184.001209,00;2025/06/06;central;;Sold extras
Patricia;9801.002267,00;17 May 2025;central;;duplicate?
Heather;"""1191""";05-30-2025;North;;bonus applied
 caleb ;"""2451""";2025/06/19;weSt ;;Late entry
Perry;"""1693""";07-05-2025;North;;Sold extras
Nicole;1, 376.00;04 Jul 2025;EAST;;
 omar ;$1887;2025/06/16;south ;;Sold extras
STEPHANIE;2, 274.00;02.07.2025;EAST;;Sold extras
Tracy;$1926;3rd June 2025;NORTH;;Late entry
ANTHONY;2, 933.00;18 Jun 2025;NORTH;;duplicate?
 jennifer ;2, 335.00;2025/06/30;West;;Late entry
Anne;$1738;3rd May 2025;West;;
 christopher ;"""2346""";2025/05/27;south ;;duplicate?
Jason;1, 929.00;10 Jun 2025;weSt ;;Sold extras
 matthew ;$714;06-19-2025;EAST;;
CHRISTOPHER;$2338;2025/07/01;North;;duplicate?
 brett ;$636;2025/05/16;EAST;;✓
